year,qr,roe,wcoa,reoa,eoa,edr,dd,sr,vol,return
,,,,,,,,,,
1985,0.011516849,0.005796184,0.213584392,0.035460316,0.069700601,2.606476875,2.568200276,1.739877697,0.334746278,0.582
,,,,,,,,,,
1985,0.895096214,0.095586442,0.672975111,0.120671819,0.147142944,5.549391069,3.678122754,2.090944211,0.273287335,0.571
,,,,,,,,,,
1985,0.827441666,0.091826866,0.553385494,0.403452189,0.165302913,5.608148918,1.889172304,1.133114476,0.499450036,0.566
,,,,,,,,,,
1985,0.85961945,0.042918236,0.659585367,0.247062014,0.124540469,11.24327418,2.718193842,1.635733049,0.339637055,0.556
,,,,,,,,,,
1985,0.306470138,0.083430101,0.223120151,-0.201076686,0.002399542,2.140137315,2.445911073,1.304880702,0.42149447,0.55
,,,,,,,,,,
1985,0.058902726,-0.045454545,0.032248491,-0.149421308,0.081857751,0.662753857,1.913732882,1.992602202,0.273739809,0.545
,,,,,,,,,,
1985,2.36269521,0.086219553,0.323108715,0.074962599,0.055998622,1.586833745,3.404342924,1.635949682,0.331102278,0.542
,,,,,,,,,,
1985,1.700941801,-0.0283195,0.50972658,0.188476427,-0.051285604,4.513129493,2.316774043,1.276440626,0.422523251,0.539
,,,,,,,,,,
1985,0.037697402,0.069724087,0.599549975,0.277709226,0.253974015,10.61967927,1.874109657,1.121603072,0.480082083,0.538
,,,,,,,,,,
1985,0.282741359,-0.079977748,0.483439942,0.370244825,0.112119642,3.148136315,2.913260291,1.546716711,0.347510308,0.538
,,,,,,,,,,
1985,0.435664127,0.0628565,0.095300588,0.067655131,0.022835799,0.492157798,2.336741398,2.282764497,0.234364956,0.535
,,,,,,,,,,
1985,0.294254104,0.238161636,0.41605178,0.236775522,0.085742866,1.539717954,2.393725756,1.078471472,0.485696226,0.524
,,,,,,,,,,
1985,0.008173168,0.0817583,0.279405028,0.273216433,0.046675215,0.974515745,-0.007923805,2.632062603,0.196297256,0.517
,,,,,,,,,,
1985,0.053257004,0.102124027,0.494428903,0.368251938,0.114019663,2.786717937,2.726091991,1.338490715,0.379886517,0.508
,,,,,,,,,,
1985,0.041578743,0.038629222,0.411955971,0.166389031,0.050523312,1.994677272,3.555010055,1.515629625,0.329895901,0.5
,,,,,,,,,,
1985,0.022169846,0.068805716,0.344233073,0.071827241,0.054294147,2.875662575,1.602261113,0.833313835,0.591822721,0.493
,,,,,,,,,,
1985,0.744048696,0.072731971,0.563229643,0.453189619,0.069875932,4.19503678,4.535582563,2.188797469,0.225125271,0.493
,,,,,,,,,,
1985,0.086790089,0.026721647,0.559652627,0.179082737,0.155610122,13.77827179,2.283080613,1.284188038,0.375925181,0.483
,,,,,,,,,,
1985,0.315801935,0.052672775,0.255567521,0.161482279,0.123893744,3.193355825,3.156405327,1.68576796,0.284736697,0.48
,,,,,,,,,,
1985,0.165872376,0.101706084,0.092698917,0.062738731,0.028718347,0.300561129,2.470197385,2.157882332,0.221176438,0.477
,,,,,,,,,,
1985,0.410938298,0.083074967,0.302244784,0.123055569,0.104789002,2.425310828,3.42438582,1.601801666,0.28893085,0.463
,,,,,,,,,,
1985,0.651864265,0.075094674,0.780407814,0.563239698,0.24497362,18.58629727,2.512558341,1.203768616,0.381155916,0.459
,,,,,,,,,,
1985,0.315178841,0.050427822,0.167194834,0.115704449,0.076024367,0.507579075,1.379953642,1.042886205,0.428971463,0.447
,,,,,,,,,,
1985,0.282000851,0.253169786,0.366008518,0.086127701,0.12779894,0.711806772,1.744178393,1.134971542,0.391590827,0.444
,,,,,,,,,,
1985,0.772940771,0.039857464,0.296469452,0.091277714,0.097924282,2.541508351,3.612668998,1.559049562,0.280619687,0.438
,,,,,,,,,,
